Ano,Mês,UF,IMPOSTO SOBRE IMPORTAÇÃO,IMPOSTO SOBRE EXPORTAÇÃO,IPI - FUMO,IPI - BEBIDAS,IPI - AUTOMÓVEIS,IPI - VINCULADO À IMPORTACAO,IPI - OUTROS,IRPF,IRPJ - ENTIDADES FINANCEIRAS,IRPJ - DEMAIS EMPRESAS,IRRF - RENDIMENTOS DO TRABALHO,IRRF - RENDIMENTOS DO CAPITAL,IRRF - REMESSAS P/ EXTERIOR,IRRF - OUTROS RENDIMENTOS,IMPOSTO S/ OPERAÇÕES FINANCEIRAS,IMPOSTO TERRITORIAL RURAL,CPMF,COFINS
2000,Julho,AC,258,13,283637,0,0,10,12579,482642,616,812641,344657,121627,0,115870,752,6366,155,1505683
2000,Julho,AL,965805,17717,1162481,708090,0,139829,2647791,1559544,1087,2476324,2560253,98631,147621,461573,14283,20996,63453,8793838
2000,Julho,AP,40275,0,353259,2473,321,21872,13497,500859,33788,556365,244970,17700,1840,34664,3037,25015,0,1620634
2000,Julho,AM,11228398,0,1316672,1303372,1466,2571830,2728223,2152764,74585,9978710,10059947,594926,8138617,1643998,847013,10900,835227,55127692
2000,Julho,BA,10759329,0,4422960,8573064,0,17648957,25476763,8268703,544813,28959564,20046808,12072633,5154830,2627714,3084788,378474,10171126,82137450
2000,Julho,CE,6306759,0,3943442,3674411,1755,2263206,3586078,5343631,1992724,11233830,11456977,3665583,959690,1003111,878976,49792,3363716,30069645
2000,Julho,DF,2338862,0,3133359,3223227,115,2641805,1433197,10202243,8117815,84514839,360976464,75574639,3449014,30492126,26671695,41456,212047202,137610212
2000,Julho,ES,50254817,0,2920665,245207,1484448,36879449,5730691,3955296,88,14960016,8907489,2363898,3287274,1482934,326237,47081,206,41670196
2000,Julho,GO,7525279,0,2899877,4784920,0,4438147,3181083,4900771,2442,17302830,8987068,4440582,234529,1593586,969384,808037,3283135,45934797
2000,Julho,MA,2761216,0,912648,3278672,0,382449,515609,1541219,288,2814460,2180672,224750,28664,416516,142209,122000,541345,8043895
2000,Julho,MT,1556576,0,1556276,1916839,0,232524,607996,2127995,6066,5746163,3763016,1194114,275691,270393,80987,1018997,688391,14567237
